Count,key
1.0,MI1717984_48.0625N_88.8125W.wdb.xml_26083
2.0,MI1717918_47.9375N_89.0625W.wdb.xml_26083
5.0,MI1717984_47.9375N_88.9375W.wdb.xml_26083
1.0,MI1717922_47.9375N_89.1875W.wdb.xml_26083
1.0,MI1717984_47.9375N_89.1875W.wdb.xml_26083
3.0,MI435347_47.4375N_87.9375W.wdb.xml_26083
9.0,MI435353_47.4375N_87.9375W.wdb.xml_26083
2.0,MI435347_47.4375N_88.0625W.wdb.xml_26083
1.0,MI435362_47.4375N_88.0625W.wdb.xml_26083
1.0,MI435394_47.4375N_87.9375W.wdb.xml_26083
1.0,MI435353_47.4375N_88.1875W.wdb.xml_26083
5.0,MI435394_47.4375N_88.0625W.wdb.xml_26083
1.0,MI435394_47.3125N_88.0625W.wdb.xml_26083
1.0,MI801069_47.3125N_88.0625W.wdb.xml_26083
1.0,MI435357_47.3125N_88.0625W.wdb.xml_26083
2.0,MI435403_47.3125N_88.1875W.wdb.xml_26083
1.0,MI817769_47.3125N_88.0625W.wdb.xml_26083
2.0,MI801069_47.3125N_88.3125W.wdb.xml_26083
9.0,MI801607_47.3125N_88.0625W.wdb.xml_26083
2.0,MI800748_47.3125N_88.0625W.wdb.xml_26083
14.0,MI435411_47.3125N_88.0625W.wdb.xml_26083
3.0,MI800767_47.3125N_88.0625W.wdb.xml_26083
2.0,MI435361_47.3125N_88.4375W.wdb.xml_26083
1.0,MI800744_47.3125N_88.0625W.wdb.xml_26083
2.0,MI800753_47.3125N_88.4375W.wdb.xml_26083
1.0,MI801069_47.3125N_88.4375W.wdb.xml_26083
3.0,MI435403_47.3125N_88.4375W.wdb.xml_26083
2.0,MI801446_47.3125N_88.4375W.wdb.xml_26083
6.0,MI801612_47.3125N_88.4375W.wdb.xml_26083
1.0,MI801608_47.3125N_88.3125W.wdb.xml_26083
2.0,MI801601_47.3125N_88.4375W.wdb.xml_26083
1.0,MI435351_47.3125N_88.4375W.wdb.xml_26083
1.0,MI801605_47.3125N_88.0625W.wdb.xml_26083
2.0,MI435415_47.3125N_88.4375W.wdb.xml_26061
6.0,MI800742_47.3125N_88.0625W.wdb.xml_26083
2.0,MI416175_47.3125N_88.3125W.wdb.xml_26061
1.0,MI435344_47.3125N_88.3125W.wdb.xml_26083
1.0,MI435411_47.3125N_88.1875W.wdb.xml_26083
3.0,MI817769_47.3125N_88.1875W.wdb.xml_26083
5.0,MI416178_47.3125N_88.3125W.wdb.xml_26061
16.0,MI416036_47.3125N_88.4375W.wdb.xml_26061
2.0,MI416041_47.3125N_88.3125W.wdb.xml_26061
1.0,MI416056_47.3125N_88.4375W.wdb.xml_26061
1.0,MI800739_47.3125N_88.1875W.wdb.xml_26083
14.0,MI416178_47.3125N_88.4375W.wdb.xml_26061
2.0,MI416043_47.3125N_88.4375W.wdb.xml_26061
1.0,MI416060_47.3125N_88.4375W.wdb.xml_26061
1.0,MI416170_47.3125N_88.4375W.wdb.xml_26061
22.0,MI416114_47.3125N_88.4375W.wdb.xml_26061
2.0,MI416081_47.3125N_88.5625W.wdb.xml_26061
6.0,MI416053_47.1875N_88.4375W.wdb.xml_26061
1.0,MI416112_47.3125N_88.4375W.wdb.xml_26061
1.0,MI416114_47.1875N_88.4375W.wdb.xml_26061
2.0,MI416078_47.1875N_88.4375W.wdb.xml_26061
9.0,MI416156_47.1875N_88.4375W.wdb.xml_26061
30.0,MI416106_47.1875N_88.4375W.wdb.xml_26061
2.0,MI416178_47.1875N_88.4375W.wdb.xml_26061
1.0,MI1401605_47.1875N_88.4375W.wdb.xml_26061
1.0,MI416050_47.1875N_88.4375W.wdb.xml_26061
66.0,MI416045_47.1875N_88.3125W.wdb.xml_26061
1.0,MI416167_47.1875N_88.4375W.wdb.xml_26061
8.0,MI416041_47.1875N_88.5625W.wdb.xml_26061
2.0,MI416119_47.1875N_88.3125W.wdb.xml_26061
6.0,MI416078_47.1875N_88.5625W.wdb.xml_26061
2.0,MI416038_47.1875N_88.4375W.wdb.xml_26061
2.0,MI416149_47.1875N_88.4375W.wdb.xml_26061
2.0,MI416173_47.1875N_88.4375W.wdb.xml_26061
1.0,MI416036_47.1875N_88.4375W.wdb.xml_26061
4.0,MI416033_47.1875N_88.4375W.wdb.xml_26061
1.0,MI416068_47.1875N_88.4375W.wdb.xml_26061
1.0,MI416123_47.1875N_88.4375W.wdb.xml_26061
2.0,MI416076_47.1875N_88.4375W.wdb.xml_26061
7.0,MI416116_47.1875N_88.3125W.wdb.xml_26061
2.0,MI416163_47.1875N_88.4375W.wdb.xml_26061
1.0,MI416121_47.1875N_88.4375W.wdb.xml_26061
3.0,MI416119_47.1875N_88.6875W.wdb.xml_26061
2.0,MI416112_47.1875N_88.4375W.wdb.xml_26061
16.0,MI416045_47.1875N_88.4375W.wdb.xml_26061
1.0,MI416042_47.1875N_88.6875W.wdb.xml_26061
11.0,MI416107_47.1875N_88.6875W.wdb.xml_26061
6.0,MI416114_47.1875N_88.3125W.wdb.xml_26061
1.0,MI416148_47.1875N_88.4375W.wdb.xml_26061
1.0,MI416059_47.1875N_88.3125W.wdb.xml_26061
2.0,MI416158_47.1875N_88.3125W.wdb.xml_26061
1.0,MI416159_47.1875N_88.3125W.wdb.xml_26061
2.0,MI416065_47.1875N_88.4375W.wdb.xml_26061
1.0,MI416135_47.1875N_88.6875W.wdb.xml_26061
1.0,MI416105_47.1875N_88.3125W.wdb.xml_26061
1.0,MI416052_47.1875N_88.5625W.wdb.xml_26061
17.0,MI416160_47.1875N_88.5625W.wdb.xml_26061
3.0,MI416167_47.1875N_88.5625W.wdb.xml_26061
5.0,MI416178_47.1875N_88.6875W.wdb.xml_26061
2.0,MI416106_47.1875N_88.5625W.wdb.xml_26061
1.0,MI416058_47.1875N_88.3125W.wdb.xml_26061
2.0,MI416173_47.1875N_88.5625W.wdb.xml_26061
7.0,MI416179_47.1875N_88.6875W.wdb.xml_26061
5.0,MI416117_47.1875N_88.4375W.wdb.xml_26061
3.0,MI416114_47.1875N_88.5625W.wdb.xml_26061
1.0,MI416060_47.1875N_88.6875W.wdb.xml_26061
2.0,MI416079_47.1875N_88.5625W.wdb.xml_26061
1.0,MI416053_47.1875N_88.5625W.wdb.xml_26061
1.0,MI416116_47.1875N_88.4375W.wdb.xml_26061
3.0,MI416035_47.1875N_88.5625W.wdb.xml_26061
3.0,MI416045_47.1875N_88.6875W.wdb.xml_26061
