Count,key
7.0,MN398862_49.3125N_95.0625W.wdb.xml_27077
1.0,MN398862_49.3125N_94.9375W.wdb.xml_27077
6.0,MN398861_49.3125N_95.0625W.wdb.xml_27077
1.0,MN398889_49.3125N_95.0625W.wdb.xml_27077
1.0,MN398853_49.1875N_94.8125W.wdb.xml_27077
4.0,MN398918_49.1875N_95.0625W.wdb.xml_27077
1.0,MN398918_49.1875N_95.1875W.wdb.xml_27077
339.0,MN2798418_48.9375N_97.1875W.wdb.xml_27069
6581.0,MN2798877_48.9375N_97.1875W.wdb.xml_27069
341.0,MN2798885_48.9375N_97.1875W.wdb.xml_27069
57.0,MN2798876_48.9375N_97.1875W.wdb.xml_27069
6199.0,MN2798867_48.9375N_97.1875W.wdb.xml_27069
1.0,MN2798876_49.0625N_97.1875W.wdb.xml_27069
24.0,MN2798887_48.9375N_97.1875W.wdb.xml_27069
81.0,MN2798417_48.9375N_97.1875W.wdb.xml_27069
7.0,MN2798875_48.9375N_97.1875W.wdb.xml_27069
5.0,MN2798883_49.0625N_97.0625W.wdb.xml_27069
11.0,MN2798855_48.9375N_97.1875W.wdb.xml_27069
1321.0,MN2798884_48.9375N_97.0625W.wdb.xml_27069
1.0,MN2798884_49.0625N_97.0625W.wdb.xml_27069
29.0,MN2798887_48.9375N_97.1875W.wdb.xml_38067
113.0,MN2798418_48.9375N_97.1875W.wdb.xml_38067
2605.0,MN2798878_48.9375N_97.0625W.wdb.xml_27069
148.0,MN2798864_48.9375N_97.0625W.wdb.xml_27069
80.0,MN2798419_48.9375N_97.1875W.wdb.xml_27069
2575.0,MN2798883_48.9375N_97.0625W.wdb.xml_27069
71.0,MN2798882_48.9375N_97.0625W.wdb.xml_27069
5164.0,MN2798883_48.9375N_96.9375W.wdb.xml_27069
858.0,MN2798833_48.9375N_96.9375W.wdb.xml_27069
400.0,MN2798830_48.9375N_96.9375W.wdb.xml_27069
51.0,MN2798863_48.9375N_96.9375W.wdb.xml_27069
399.0,MN2798852_48.9375N_96.9375W.wdb.xml_27069
331.0,MN2798852_48.9375N_96.8125W.wdb.xml_27069
1991.0,MN2798833_48.9375N_96.8125W.wdb.xml_27069
802.0,MN2798861_48.9375N_96.8125W.wdb.xml_27069
1690.0,MN2798836_48.9375N_96.8125W.wdb.xml_27069
1315.0,MN2798411_48.9375N_96.8125W.wdb.xml_27069
45.0,MN2798413_48.9375N_96.8125W.wdb.xml_27069
57.0,MN2798420_48.9375N_96.8125W.wdb.xml_27069
760.0,MN2798837_48.9375N_96.8125W.wdb.xml_27069
1294.0,MN2798858_48.9375N_96.8125W.wdb.xml_27069
261.0,MN2798842_48.9375N_96.8125W.wdb.xml_27069
312.0,MN2798836_48.9375N_96.6875W.wdb.xml_27069
212.0,MN2798864_48.9375N_96.9375W.wdb.xml_27069
845.0,MN2798858_48.9375N_96.9375W.wdb.xml_27069
133.0,MN2798847_48.9375N_96.9375W.wdb.xml_27069
557.0,MN2798832_48.9375N_96.8125W.wdb.xml_27069
303.0,MN2798411_48.9375N_96.6875W.wdb.xml_27069
6.0,MN2798888_48.9375N_97.1875W.wdb.xml_38067
136.0,MN2798424_48.9375N_96.6875W.wdb.xml_27069
24.0,MN2798840_48.9375N_96.6875W.wdb.xml_27069
1.0,MN2798851_48.9375N_96.6875W.wdb.xml_27069
7.0,MN2798423_48.9375N_96.6875W.wdb.xml_27069
368.0,MN2798840_48.9375N_96.9375W.wdb.xml_27069
209.0,MN2798845_48.9375N_96.6875W.wdb.xml_27069
152.0,MN2798839_48.9375N_96.5625W.wdb.xml_27069
5.0,MN2798427_48.9375N_96.4375W.wdb.xml_27069
128.0,MN2798837_48.9375N_96.4375W.wdb.xml_27069
484.0,MN2798847_48.9375N_96.8125W.wdb.xml_27069
97.0,MN2798427_48.9375N_96.5625W.wdb.xml_27069
1.0,MN394823_48.9375N_95.3125W.wdb.xml_27077
13.0,MN2798890_48.9375N_96.9375W.wdb.xml_27069
30.0,MN2798886_48.9375N_97.1875W.wdb.xml_27069
92.0,MN2798861_48.9375N_96.9375W.wdb.xml_27069
11.0,MN2798854_48.9375N_96.6875W.wdb.xml_27069
82.0,MN394876_48.9375N_96.1875W.wdb.xml_27135
197.0,MN2798412_48.9375N_96.9375W.wdb.xml_27069
51.0,MN2798850_48.9375N_96.9375W.wdb.xml_27069
3784.0,MN2798832_48.9375N_96.9375W.wdb.xml_27069
377.0,MN394790_48.9375N_95.3125W.wdb.xml_27135
105.0,MN2798841_48.9375N_96.8125W.wdb.xml_27069
704.0,MN2798863_48.9375N_96.8125W.wdb.xml_27069
273.0,MN2798837_48.9375N_96.6875W.wdb.xml_27069
1.0,MN2799860_48.9375N_96.3125W.wdb.xml_27135
20.0,MN2799869_48.9375N_95.9375W.wdb.xml_27135
5.0,MN2799890_48.9375N_96.3125W.wdb.xml_27135
630.0,MN2799849_48.9375N_95.9375W.wdb.xml_27135
48.0,MN2799847_48.9375N_95.9375W.wdb.xml_27135
6.0,MN2798850_48.9375N_96.8125W.wdb.xml_27069
277.0,MN2798862_48.9375N_96.8125W.wdb.xml_27069
52.0,MN2798842_48.9375N_96.5625W.wdb.xml_27069
1.0,MN2799884_48.9375N_96.4375W.wdb.xml_27135
10.0,MN2799862_48.9375N_95.9375W.wdb.xml_27135
2817.0,MN2798867_48.9375N_97.0625W.wdb.xml_27069
1520.0,MN2798862_48.9375N_96.9375W.wdb.xml_27069
2.0,MN2798859_48.9375N_96.4375W.wdb.xml_27069
12.0,MN2799852_48.9375N_96.3125W.wdb.xml_27135
501.0,MN2798841_48.9375N_96.9375W.wdb.xml_27069
167.0,MN2798830_48.9375N_96.8125W.wdb.xml_27069
639.0,MN2798845_48.9375N_96.8125W.wdb.xml_27069
