Count,key
66.0,MO2528451_40.5625N_91.6875W.wdb.xml_19177
9.0,MO2531139_40.5625N_91.6875W.wdb.xml_19177
30.0,MO2498592_40.5625N_91.6875W.wdb.xml_19177
16.0,MO2531264_40.5625N_91.6875W.wdb.xml_19177
19.0,MO888753_40.5625N_91.6875W.wdb.xml_19177
39.0,MO888730_40.5625N_91.6875W.wdb.xml_19177
314.0,MO2531033_40.5625N_91.6875W.wdb.xml_19177
88.0,MO2531265_40.5625N_91.6875W.wdb.xml_19177
130.0,MO2659725_40.5625N_91.6875W.wdb.xml_19177
43.0,MO2531264_40.5625N_91.8125W.wdb.xml_19177
141.0,MO2531139_40.5625N_91.8125W.wdb.xml_19177
159.0,MO888730_40.5625N_91.6875W.wdb.xml_29045
896.0,MO2531264_40.5625N_91.6875W.wdb.xml_29045
107.0,MO2532650_40.5625N_91.8125W.wdb.xml_19177
7.0,MO888741_40.5625N_91.8125W.wdb.xml_19177
1242.0,MO2528593_40.5625N_91.8125W.wdb.xml_29045
731.0,MO888741_40.5625N_91.6875W.wdb.xml_29045
134.0,MO2531049_40.5625N_91.8125W.wdb.xml_19177
1889.0,MO2531265_40.5625N_91.6875W.wdb.xml_29045
300.0,MO2531033_40.5625N_91.6875W.wdb.xml_29045
21.0,MO888742_40.5625N_91.8125W.wdb.xml_19177
6.0,MO2531953_40.5625N_91.8125W.wdb.xml_19177
13.0,MO2528593_40.5625N_91.8125W.wdb.xml_19177
10.0,MO3052024_40.5625N_91.8125W.wdb.xml_19177
12724.0,MO2532650_40.5625N_91.8125W.wdb.xml_29045
45.0,MO2531265_40.5625N_91.8125W.wdb.xml_19177
884.0,MO888741_40.5625N_91.8125W.wdb.xml_29045
9.0,MO2531108_40.5625N_91.8125W.wdb.xml_19177
263.0,MO2532905_40.5625N_91.6875W.wdb.xml_29045
1965.0,MO2531139_40.5625N_91.8125W.wdb.xml_29045
6490.0,MO888742_40.5625N_91.8125W.wdb.xml_29045
367.0,MO2531108_40.5625N_91.8125W.wdb.xml_29045
2670.0,MO3052024_40.5625N_91.8125W.wdb.xml_29045
1310.0,MO2531265_40.5625N_91.8125W.wdb.xml_29045
5881.0,MO2531049_40.5625N_91.8125W.wdb.xml_29045
792.0,MO2531264_40.5625N_91.8125W.wdb.xml_29045
48.0,MO888753_40.5625N_91.6875W.wdb.xml_29045
58.0,MO2533666_40.5625N_91.6875W.wdb.xml_19177
2453.0,MO3052024_40.5625N_91.6875W.wdb.xml_29045
273.0,MO2531265_40.5625N_91.9375W.wdb.xml_29045
521.0,MO888741_40.5625N_91.9375W.wdb.xml_29045
15.0,MO3052024_40.5625N_91.6875W.wdb.xml_19177
10.0,MO2532650_40.5625N_91.9375W.wdb.xml_19177
16.0,MO2531265_40.5625N_91.9375W.wdb.xml_19177
8.0,MO2531139_40.5625N_91.9375W.wdb.xml_19177
4.0,MO888741_40.5625N_91.9375W.wdb.xml_19177
22.0,MO888754_40.5625N_91.6875W.wdb.xml_19177
2183.0,MO2531139_40.5625N_91.6875W.wdb.xml_29045
3.0,MO2528363_40.5625N_91.9375W.wdb.xml_29045
1481.0,MO2531139_40.5625N_91.9375W.wdb.xml_29045
6799.0,MO2532650_40.5625N_91.9375W.wdb.xml_29045
62.0,MO2528451_40.5625N_91.9375W.wdb.xml_29045
583.0,MO2531264_40.5625N_91.9375W.wdb.xml_29045
56.0,MO2659720_40.5625N_91.8125W.wdb.xml_29045
708.0,MO888754_40.5625N_91.6875W.wdb.xml_29045
321.0,MO888730_40.5625N_91.9375W.wdb.xml_29045
3609.0,MO888742_40.5625N_91.9375W.wdb.xml_29045
601.0,MO2532015_40.5625N_91.9375W.wdb.xml_29045
1589.0,MO2528593_40.5625N_91.9375W.wdb.xml_29045
658.0,MO2533666_40.5625N_91.9375W.wdb.xml_29045
1531.0,MO2532171_40.5625N_91.9375W.wdb.xml_29045
15.0,MO2498592_40.5625N_91.9375W.wdb.xml_29045
12.0,MO888650_40.5625N_91.9375W.wdb.xml_29045
34.0,MO2531137_40.5625N_91.9375W.wdb.xml_29045
253.0,MO2531953_40.5625N_91.9375W.wdb.xml_29045
11453.0,MO2532650_40.5625N_91.6875W.wdb.xml_29045
2821.0,MO2521035_40.5625N_91.9375W.wdb.xml_29199
6015.0,MO2532652_40.5625N_91.9375W.wdb.xml_29199
4953.0,MO2531057_40.5625N_91.9375W.wdb.xml_29199
51.0,MO888758_40.5625N_91.9375W.wdb.xml_29045
609.0,MO2531106_40.5625N_91.9375W.wdb.xml_29199
3052.0,MO2531379_40.5625N_91.9375W.wdb.xml_29199
1.0,MO2659667_40.5625N_91.9375W.wdb.xml_29045
