Count,key
86.0,OH298923_41.9375N_80.5625W.wdb.xml_39007
3.0,OH298857_41.9375N_80.5625W.wdb.xml_39007
5.0,OH298929_41.9375N_80.5625W.wdb.xml_39007
20.0,OH298897_41.9375N_80.5625W.wdb.xml_39007
738.0,OH298888_41.9375N_80.5625W.wdb.xml_39007
7.0,OH319843_41.9375N_80.5625W.wdb.xml_39007
76.0,OH298909_41.9375N_80.5625W.wdb.xml_39007
254.0,OH298902_41.9375N_80.5625W.wdb.xml_39007
200.0,OH298876_41.9375N_80.5625W.wdb.xml_39007
3.0,OH298878_41.9375N_80.5625W.wdb.xml_39007
15.0,OH298911_41.9375N_80.5625W.wdb.xml_39007
2.0,OH298889_41.9375N_80.5625W.wdb.xml_39007
7.0,OH298890_41.9375N_80.5625W.wdb.xml_39007
111.0,OH298876_41.9375N_80.6875W.wdb.xml_39007
22.0,OH298877_41.9375N_80.5625W.wdb.xml_39007
81.0,OH298879_41.9375N_80.5625W.wdb.xml_39007
116.0,OH298915_41.9375N_80.5625W.wdb.xml_39007
1915.0,OH298063_41.9375N_80.5625W.wdb.xml_39007
93.0,OH298901_41.9375N_80.5625W.wdb.xml_39007
62.0,OH298916_41.9375N_80.5625W.wdb.xml_39007
173.0,OH298873_41.9375N_80.5625W.wdb.xml_39007
30.0,OH298874_41.9375N_80.5625W.wdb.xml_39007
206.0,OH298872_41.9375N_80.5625W.wdb.xml_39007
97.0,OH298922_41.9375N_80.5625W.wdb.xml_39007
30.0,OH298891_41.9375N_80.5625W.wdb.xml_39007
160.0,OH298900_41.9375N_80.5625W.wdb.xml_39007
1592.0,OH298884_41.9375N_80.5625W.wdb.xml_39007
48.0,OH278182_41.9375N_80.5625W.wdb.xml_39007
238.0,OH298888_41.9375N_80.6875W.wdb.xml_39007
141.0,OH298932_41.9375N_80.5625W.wdb.xml_39007
375.0,OH298922_41.9375N_80.6875W.wdb.xml_39007
177.0,OH298911_41.9375N_80.6875W.wdb.xml_39007
65.0,OH298904_41.9375N_80.5625W.wdb.xml_39007
3.0,OH298924_41.9375N_80.5625W.wdb.xml_39007
16.0,OH298877_41.9375N_80.6875W.wdb.xml_39007
9.0,OH298875_41.9375N_80.5625W.wdb.xml_39007
16.0,OH298918_41.9375N_80.5625W.wdb.xml_39007
438.0,OH298905_41.9375N_80.5625W.wdb.xml_39007
25.0,OH298859_41.9375N_80.5625W.wdb.xml_39007
71.0,OH298916_41.9375N_80.6875W.wdb.xml_39007
142.0,OH298915_41.9375N_80.6875W.wdb.xml_39007
222.0,OH298879_41.9375N_80.6875W.wdb.xml_39007
8.0,OH298858_41.9375N_80.5625W.wdb.xml_39007
7.0,OH298929_41.9375N_80.6875W.wdb.xml_39007
39.0,OH298919_41.9375N_80.5625W.wdb.xml_39007
79.0,OH298923_41.9375N_80.6875W.wdb.xml_39007
3.0,OH298908_41.9375N_80.5625W.wdb.xml_39007
161.0,OH298872_41.9375N_80.6875W.wdb.xml_39007
21.0,OH298858_41.9375N_80.6875W.wdb.xml_39007
290.0,OH298873_41.9375N_80.6875W.wdb.xml_39007
13.0,OH298898_41.9375N_80.6875W.wdb.xml_39007
153.0,OH298897_41.9375N_80.6875W.wdb.xml_39007
148.0,OH298909_41.9375N_80.6875W.wdb.xml_39007
5.0,OH298860_41.9375N_80.5625W.wdb.xml_39007
13.0,OH319843_41.9375N_80.6875W.wdb.xml_39007
12.0,OH298919_41.9375N_80.6875W.wdb.xml_39007
36.0,OH298904_41.9375N_80.6875W.wdb.xml_39007
282.0,OH298063_41.9375N_80.6875W.wdb.xml_39007
16.0,OH298909_41.9375N_80.8125W.wdb.xml_39007
45.0,OH298884_41.9375N_80.6875W.wdb.xml_39007
68.0,OH298913_41.9375N_80.5625W.wdb.xml_39007
4.0,OH298902_41.9375N_80.8125W.wdb.xml_39007
2.0,OH298902_41.9375N_80.6875W.wdb.xml_39007
11.0,OH298923_41.9375N_80.8125W.wdb.xml_39007
135.0,OH298874_41.9375N_80.6875W.wdb.xml_39007
3.0,OH319843_41.9375N_80.8125W.wdb.xml_39007
5.0,OH298891_41.9375N_80.6875W.wdb.xml_39007
2.0,OH298891_41.9375N_80.8125W.wdb.xml_39007
7.0,OH298932_41.9375N_80.6875W.wdb.xml_39007
4.0,OH298875_41.9375N_80.6875W.wdb.xml_39007
13542.0,OH298905_41.8125N_80.5625W.wdb.xml_39007
1225.0,OH298913_41.8125N_80.5625W.wdb.xml_39007
7.0,OH298924_41.9375N_80.8125W.wdb.xml_39007
7130.0,OH298063_41.8125N_80.5625W.wdb.xml_39007
372.0,OH298929_41.8125N_80.5625W.wdb.xml_39007
1173.0,OH298884_41.8125N_80.5625W.wdb.xml_39007
4.0,OH298924_41.9375N_80.6875W.wdb.xml_39007
5.0,OH298929_41.9375N_80.8125W.wdb.xml_39007
518.0,OH298873_41.8125N_80.5625W.wdb.xml_39007
2.0,OH298897_41.9375N_80.8125W.wdb.xml_39007
