region,subregion,dop2,DOY2,DOY3,CWAD_mean,CWAD_sd
illinois,carroll,Sep-15,Apr-1,Apr-1,2291.7745259,1033.2338024311607
illinois,carroll,Sep-15,Apr-15,Apr-15,3090.3894882777777,905.4705188324691
illinois,carroll,Sep-15,May-1,May-1,3862.432045422222,661.0974586638972
illinois,carroll,Sep-15,May-15,May-15,4347.853268766667,557.0817954784263
illinois,carroll,Sep-15,Jun-1,Jun-1,4707.899477711111,546.5672701501733
illinois,carroll,Sep-15,Jun-15,Jun-15,4831.022412577778,546.1992427169555
illinois,carroll,Sep-15,Jul-1,Jul-1,4855.051315411111,544.5019160070516
illinois,carroll,Sep-15,Jul-15,Jul-15,4855.6406050333335,544.4386866364875
illinois,carroll,Oct-7,Apr-1,Apr-1,450.9256236333333,639.771512625028
illinois,carroll,Oct-7,Apr-15,Apr-15,967.8957071222222,1018.5467579800724
illinois,carroll,Oct-7,May-1,May-1,2000.5082445666667,1126.4534881117406
illinois,carroll,Oct-7,May-15,May-15,3075.903406877778,914.4151796060333
illinois,carroll,Oct-7,Jun-1,Jun-1,3986.5415608666667,626.5635921343811
illinois,carroll,Oct-7,Jun-15,Jun-15,4412.882617333334,458.4578541252242
illinois,carroll,Oct-7,Jul-1,Jul-1,4608.6386962999995,350.85152234367285
illinois,carroll,Oct-7,Jul-15,Jul-15,4635.7393694111115,330.4816219023819
illinois,carroll,Nov-1,Apr-1,Apr-1,40.79111856666667,76.91205252734262
illinois,carroll,Nov-1,Apr-15,Apr-15,176.1222763111111,319.8187224704871
illinois,carroll,Nov-1,May-1,May-1,619.5478259333333,781.364548002393
illinois,carroll,Nov-1,May-15,May-15,1481.7012606777778,1056.7927841392243
illinois,carroll,Nov-1,Jun-1,Jun-1,2855.572093477778,1007.3756237977167
illinois,carroll,Nov-1,Jun-15,Jun-15,3684.633091466667,891.2247359903795
illinois,carroll,Nov-1,Jul-1,Jul-1,4191.135029188888,854.8006816920337
illinois,carroll,Nov-1,Jul-15,Jul-15,4343.096966811111,853.049459431509
illinois,hancock,Sep-15,Apr-1,Apr-1,3198.5416856066668,1012.6288967599992
illinois,hancock,Sep-15,Apr-15,Apr-15,3691.0967257133334,1250.3362358343504
illinois,hancock,Sep-15,May-1,May-1,4097.848150633334,1483.9521242903174
illinois,hancock,Sep-15,May-15,May-15,4321.51167086,1614.142211404736
illinois,hancock,Sep-15,Jun-1,Jun-1,4424.698230766667,1670.8566178239942
illinois,hancock,Sep-15,Jun-15,Jun-15,4435.807628753333,1676.4808074419168
illinois,hancock,Sep-15,Jul-1,Jul-1,4436.08035894,1676.5972932638283
illinois,hancock,Sep-15,Jul-15,Jul-15,4436.08035894,1676.5972932638283
illinois,hancock,Oct-7,Apr-1,Apr-1,1614.5202786466666,1103.0192914519898
illinois,hancock,Oct-7,Apr-15,Apr-15,2512.0496061133335,1175.095905797556
illinois,hancock,Oct-7,May-1,May-1,3457.83468882,1076.4095225837384
illinois,hancock,Oct-7,May-15,May-15,4053.4341845133335,1061.3117212434663
illinois,hancock,Oct-7,Jun-1,Jun-1,4455.4082125,1067.844088120723
illinois,hancock,Oct-7,Jun-15,Jun-15,4576.7495068533335,1060.1964266604502
illinois,hancock,Oct-7,Jul-1,Jul-1,4599.250293213333,1055.710131469295
illinois,hancock,Oct-7,Jul-15,Jul-15,4599.55212978,1055.58671226487
illinois,hancock,Nov-1,Apr-1,Apr-1,325.89646066,468.8917241884068
illinois,hancock,Nov-1,Apr-15,Apr-15,827.1473212733333,867.430919359321
illinois,hancock,Nov-1,May-1,May-1,1804.5029444466666,1097.7696362496476
illinois,hancock,Nov-1,May-15,May-15,2782.71215326,1071.5649267297913
illinois,hancock,Nov-1,Jun-1,Jun-1,3578.0368648666667,1070.3612005092175
illinois,hancock,Nov-1,Jun-15,Jun-15,3936.1031379466667,1085.2264727436486
illinois,hancock,Nov-1,Jul-1,Jul-1,4085.6165476466667,1084.3778578874942
illinois,hancock,Nov-1,Jul-15,Jul-15,4102.899404986667,1082.895313288489
illinois,henderson,Sep-15,Apr-1,Apr-1,3476.2208158666667,1052.6364399853726
illinois,henderson,Sep-15,Apr-15,Apr-15,4193.068807708333,1257.5381694103824
illinois,henderson,Sep-15,May-1,May-1,4800.389250941666,1499.7499640854678
illinois,henderson,Sep-15,May-15,May-15,5125.377305875,1646.1926116905709
illinois,henderson,Sep-15,Jun-1,Jun-1,5273.905325141666,1711.4250044239784
illinois,henderson,Sep-15,Jun-15,Jun-15,5291.787931658333,1718.349590915343
illinois,henderson,Sep-15,Jul-1,Jul-1,5292.42262775,1718.4996888347303
illinois,henderson,Sep-15,Jul-15,Jul-15,5292.42262775,1718.4996888347303
illinois,henderson,Oct-7,Apr-1,Apr-1,1490.2512564666667,1124.2478886304898
illinois,henderson,Oct-7,Apr-15,Apr-15,2478.8571323833335,1283.827917209731
illinois,henderson,Oct-7,May-1,May-1,3674.6301737833332,1138.810327015372
illinois,henderson,Oct-7,May-15,May-15,4497.8793743333335,963.9794019197539
illinois,henderson,Oct-7,Jun-1,Jun-1,5056.875175358334,842.6420145703839
illinois,henderson,Oct-7,Jun-15,Jun-15,5227.475669541666,790.0882561079071
illinois,henderson,Oct-7,Jul-1,Jul-1,5261.611081325,773.2887179506405
illinois,henderson,Oct-7,Jul-15,Jul-15,5262.392654375,772.5814695380817
illinois,henderson,Nov-1,Apr-1,Apr-1,271.147935175,417.13999493690955
illinois,henderson,Nov-1,Apr-15,Apr-15,738.6356728333334,853.6753182412115
illinois,henderson,Nov-1,May-1,May-1,1770.9068557,1151.6308628384022
illinois,henderson,Nov-1,May-15,May-15,2976.7156631,1065.9461435752075
